"filename", "language", "JSON", "JSON with Comments", "C#", "TypeScript", "HTML", "Database", "CSS", "Markdown", "XML", "comment", "blank", "total"
"c:\Users\k1212\Documents\FamilyApp\API\API.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 4, 23
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\AccountController.cs", "C#", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 18, 76
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\AdminController.cs", "C#", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 18, 68
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\BaseApiController.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\BuggyController.cs", "C#", 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 12, 50
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\FamilyController.cs", "C#", 0, 0, 160, 0, 0, 0, 0, 0, 0, 3, 70, 233
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\InvitationsController.cs", "C#", 0, 0, 99, 0, 0, 0, 0, 0, 0, 0, 38, 137
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\ListsController.cs", "C#", 0, 0, 87, 0, 0, 0, 0, 0, 0, 2, 29, 118
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\MessagesController.cs", "C#", 0, 0, 61, 0, 0, 0, 0, 0, 0, 7, 23, 91
"c:\Users\k1212\Documents\FamilyApp\API\Controllers\UsersController.cs", "C#", 0, 0, 99, 0, 0, 0, 0, 0, 0, 3, 40, 142
"c:\Users\k1212\Documents\FamilyApp\API\DTOs\CreateListDto.cs", "C#", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\k1212\Documents\FamilyApp\API\DTOs\CreateMessageDto.cs", "C#", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 2, 8
