Date : 2024-09-02 22:06:48
Directory : c:\Users\k1212\Documents\FamilyApp
Total : 275 files,  25747 codes, 143 comments, 3085 blanks, all 28975 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |         11 |     13,462 |          2 |          6 |     13,470 |
| C#                 |         95 |      7,127 |         61 |      2,374 |      9,562 |
| TypeScript         |         83 |      2,697 |         12 |        469 |      3,178 |
| HTML               |         41 |      1,296 |         62 |        117 |      1,475 |
| Database           |          1 |        770 |          0 |         13 |        783 |
| CSS                |         41 |        330 |          5 |         87 |        422 |
| JSON with Comments |          1 |         32 |          1 |          1 |         34 |
| XML                |          1 |         19 |          0 |          4 |         23 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                              |        275 |     25,747 |        143 |      3,085 |     28,975 |
| . (Files)                                                                                                                      |          1 |          5 |          0 |          0 |          5 |
| API                                                                                                                            |        100 |      8,094 |         61 |      2,393 |     10,548 |
| API (Files)                                                                                                                    |          4 |        843 |          2 |         32 |        877 |
| API\Controllers                                                                                                                |          9 |        661 |         15 |        252 |        928 |
| API\DTOs                                                                                                                       |         13 |        123 |          0 |         33 |        156 |
| API\Data                                                                                                                       |         25 |      5,530 |         42 |      1,799 |      7,371 |
| API\Data (Files)                                                                                                               |         10 |        676 |          6 |        134 |        816 |
| API\Data\Migrations                                                                                                            |         15 |      4,854 |         36 |      1,665 |      6,555 |
| API\Entities                                                                                                                   |         14 |        163 |          0 |         65 |        228 |
| API\Errors                                                                                                                     |          1 |         13 |          0 |          4 |         17 |
| API\Extensions                                                                                                                 |          5 |        113 |          0 |         26 |        139 |
| API\Helpers                                                                                                                    |         12 |        149 |          1 |         40 |        190 |
| API\Intrfaces                                                                                                                  |          9 |        110 |          0 |         25 |        135 |
| API\Middleware                                                                                                                 |          1 |         35 |          0 |         10 |         45 |
| API\Properties                                                                                                                 |          1 |         14 |          0 |          1 |         15 |
| API\Services                                                                                                                   |          2 |         79 |          0 |         20 |         99 |
| API\SignalR                                                                                                                    |          4 |        261 |          1 |         86 |        348 |
| client                                                                                                                         |        174 |     17,648 |         82 |        692 |     18,422 |
| client (Files)                                                                                                                 |          7 |     13,187 |          3 |         19 |     13,209 |
| client\src                                                                                                                     |        167 |      4,461 |         79 |        673 |      5,213 |
| client\src (Files)                                                                                                             |          3 |         60 |          1 |         16 |         77 |
| client\src\app                                                                                                                 |        160 |      4,253 |         78 |        655 |      4,986 |
| client\src\app (Files)                                                                                                         |          6 |        270 |          0 |         25 |        295 |
| client\src\app\_directives                                                                                                     |          1 |         25 |          0 |          5 |         30 |
| client\src\app\_forms                                                                                                          |          6 |         86 |          0 |         13 |         99 |
| client\src\app\_forms\date-picker                                                                                              |          3 |         43 |          0 |          7 |         50 |
| client\src\app\_forms\text-input                                                                                               |          3 |         43 |          0 |          6 |         49 |
| client\src\app\_guards                                                                                                         |          3 |         49 |          0 |         10 |         59 |
| client\src\app\_interceptors                                                                                                   |          3 |        102 |          0 |         13 |        115 |
| client\src\app\_models                                                                                                         |         14 |        161 |          0 |         17 |        178 |
| client\src\app\_resolvers                                                                                                      |          3 |         24 |          1 |          9 |         34 |
| client\src\app\_services                                                                                                       |         13 |        587 |          3 |        118 |        708 |
| client\src\app\admin                                                                                                           |          9 |        100 |          0 |         19 |        119 |
| client\src\app\admin\admin-panel                                                                                               |          3 |         18 |          0 |          4 |         22 |
| client\src\app\admin\photo-management                                                                                          |          3 |          9 |          0 |          5 |         14 |
| client\src\app\admin\user-management                                                                                           |          3 |         73 |          0 |         10 |         83 |
| client\src\app\errors                                                                                                          |          9 |        102 |          0 |         24 |        126 |
| client\src\app\errors\not-found                                                                                                |          3 |         12 |          0 |          5 |         17 |
| client\src\app\errors\server-error                                                                                             |          3 |         30 |          0 |          6 |         36 |
| client\src\app\errors\test-error                                                                                               |          3 |         60 |          0 |         13 |         73 |
| client\src\app\family                                                                                                          |         18 |        649 |          9 |         89 |        747 |
| client\src\app\family-lists                                                                                                    |          3 |         60 |          0 |         10 |         70 |
| client\src\app\family-lists\family-list-card                                                                                   |          3 |         60 |          0 |         10 |         70 |
| client\src\app\family-member                                                                                                   |          6 |        166 |          0 |         21 |        187 |
| client\src\app\family-member\family-member-card                                                                                |          3 |         67 |          0 |         13 |         80 |
| client\src\app\family-member\family-member-details                                                                             |          3 |         99 |          0 |          8 |        107 |
| client\src\app\family\family-chat                                                                                              |          3 |        159 |          6 |         25 |        190 |
| client\src\app\family\family-home                                                                                              |          3 |         95 |          0 |         15 |        110 |
| client\src\app\family\family-lists                                                                                             |          3 |        101 |          0 |         14 |        115 |
| client\src\app\family\family-member-list                                                                                       |          3 |         83 |          0 |         15 |         98 |
| client\src\app\family\family-photo-edytor                                                                                      |          3 |        164 |          3 |         14 |        181 |
| client\src\app\family\family-photos                                                                                            |          3 |         47 |          0 |          6 |         53 |
| client\src\app\home                                                                                                            |          3 |         56 |          0 |          9 |         65 |
| client\src\app\invitations                                                                                                     |         12 |        231 |          0 |         34 |        265 |
| client\src\app\invitations\add-invitation                                                                                      |          3 |         52 |          0 |         11 |         63 |
| client\src\app\invitations\invitation-received-card                                                                            |          3 |         58 |          0 |          7 |         65 |
| client\src\app\invitations\invitation-sent-card                                                                                |          3 |         44 |          0 |          5 |         49 |
| client\src\app\invitations\invitations                                                                                         |          3 |         77 |          0 |         11 |         88 |
| client\src\app\lists                                                                                                           |          3 |         67 |          0 |         10 |         77 |
| client\src\app\members                                                                                                         |         18 |        705 |         38 |         94 |        837 |
| client\src\app\members\member-card                                                                                             |          3 |         87 |          1 |         14 |        102 |
